"游戏","apk_type",Count
"air.au.com.metro.DumbWaysToDie2",2,1
"air.bg.lan.Monopoli",2,1
"air.com.A3rdsense.SwordsandSandalsLite",2,1
"air.com.FDGEntertainment.Lonewolf.gp",2,1
"air.com.FoodMakerDessertRecipes",2,1
"air.com.badlyinterrogated.currentflow",2,1
"air.com.beachbumgammon",2,1
"air.com.brokenbulbstudios.miscrits",2,1
"air.com.cutplay.slither.snake.io",2,1
"air.com.freshplanet.games.SongPop2",2,1
"air.com.globalgear.kr.city",2,1
"air.com.hoiquan52.choibaionline",2,1
"air.com.innogames.grepolis",2,1
"air.com.konami.ygo",2,1
"air.com.murka.poker",2,1
"air.com.pearsoned.poptropica",2,1
"air.com.spilgames.CatsEmpire",2,1
"air.com.spilgames.trollfacequestunlucky",2,1
"air.com.sublinet.tastytale",2,1
"air.com.tensquaregames.letsfish",2,1
"air.com.turner.boomerangmakeandrace",2,1
"air.com.tutotoons.app.babyhouse",2,1
"air.com.web4games.bouncingballs",2,1
"air.cookingyardrestaurant",2,1
"air.loveandbloodhe",2,1
"air.net.lol.gqgames",2,1
"air.net.shiftup.yrz2",2,1
"air.saiko",2,1
"air.sjsix",2,1
"air.uk.co.itng.app",2,1
"air.wom.Client",2,1
"alterforce.huntress_lite",2,1
"and.onemt.war.ar",2,1
"appus.pro.travelinggameapp",2,1
"at.ner.lepsWorld2",2,1
"au.com.wickedwitch.kingofspin",2,1
"avidly.pet.alliance.gwxlm",2,1
"ballz.brick.breaker.ballz.bounce.free",2,1
"block.app.wars",2,1
"bmu.mobi",2,1
"book.colorpages.peepapig",2,1
"boom.pez.abecedaria.pezboom",2,1
"br.com.casaopen.biblehangman",2,1
"br.com.rodrigokolb.realguitar",2,1
"br.com.tapps.bidwars",2,1
"br.com.tapps.callofdoodie",2,1
"br.com.tapps.fashionsalondash",2,1
"brain.phisics.boxpuzzles",2,1
"bwebmedia.strawberryicecreamsandwiches",2,1
"ca.halsafar.genesisdroid",2,1
"ca.roofdog.pm3",2,1
"chanphom.bkool.danhbai2015",2,1
"cheatsforrelicrun2.newlineapps",2,1
"co.chopperkhan.emojisurvival",2,1
"co.singta.sidstory",2,1
"co.tamatem.hazalhadeedtatweef",2,1
"com.AURORA.ModernAirCombat3D",2,1
"com.AXgamesoft.TurbopropFS",2,1
"com.AdofGames.BattleOfDots",2,1
"com.AnionSoftware.ApocalypseRunnerSeasons",2,1
"com.AppNewGame.ZumaDeluxe2017.Revengemarbleempire",2,1
"com.ApparelAreUs.dressup",2,1
"com.AprenderJugando.gameKids",2,1
